imageName,original_glrlm_LongRunHighGrayLevelEmphasis,wavelet2-LLH_firstorder_Energy,wavelet2-LHL_glszm_ZonePercentage,wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,log-sigma-2-0-mm-3D_firstorder_Maximum,original_glszm_GrayLevelNonUniformity,original_glcm_MCC,wavelet2-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,original_shape_Maximum2DDiameterColumn,original_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet2-LLL_glrlm_LongRunHighGrayLevelEmphasis,wavelet2-LLH_firstorder_Range,wavelet-HLL_glrlm_GrayLevelVariance,wavelet2-HHH_firstorder_Skewness,original_glszm_SizeZoneNonUniformity,wavelet2-LHH_glszm_ZonePercentage,wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,wavelet2-LLL_gldm_DependenceEntropy,original_glrlm_HighGrayLevelRunEmphasis,wavelet2-LLL_glcm_JointEntropy,wavelet2-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,original_ngtdm_Busyness,wavelet2-LLL_glcm_Correlation,wavelet2-LHH_glszm_HighGrayLevelZoneEmphasis,wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,wavelet-HHL_firstorder_Uniformity,wavelet2-HHH_gldm_DependenceEntropy,original_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-HHH_ngtdm_Complexity,wavelet2-LLL_glcm_MCC,wavelet2-HHL_glszm_ZonePercentage,original_glrlm_GrayLevelNonUniformityNormalized,wavelet-HLH_glcm_Id,wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,wavelet2-HLL_glrlm_HighGrayLevelRunEmphasis,wavelet-HHL_glszm_GrayLevelNonUniformity,original_gldm_LowGrayLevelEmphasis,wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis
9001534650,1267.5750342092365,1310.9624089267045,0.0004954173891503,0.6318027024779231,0.2928118109703064,1.0,1.2345120059076589e-05,644.3901907356948,52.630789467763066,2577.496878870448,317.0229607339528,2.54047140469382,0.2498055768039703,-0.4916743545494664,1.0,0.0003220213029477,2.5,1.956546933055178,3.998942746583204,-3.2034265038149176e-16,163.25809388159524,70.23684210526316,0.1610962333049586,1.0,1.4615384615384617,0.5003888463920594,0.6110573970559297,4.772656899253094,0.0004900668404723,0.257050923457118,1.0,0.0008917513004706,0.9992954277353908,0.8842279573333217,0.6345780730387934,2.4456951822268245,11.095238095238097,0.2500185781520931,0.4250000009130962
9002491277,284.50062117657524,500.5644637328028,0.0011329037739856,0.6384224592908964,0.348495602607727,7.0,1.0,636.1109537633647,64.25729530566937,636.1109537633647,284.50062117657524,2.3580081856749797,0.2499001302048468,-0.0776311498721348,1.8571428571428568,0.0008968821544053,2.6578947368421053,2.110272090150584,1.0,-3.2034265038149176e-16,170.62053624111968,157.13636363636363,0.0,1.0,1.947368421052632,0.5001997395903064,0.5013640692051531,4.489806321663498,0.0021784744258823,0.4643527796208142,1.0,0.0010384951261535,1.0,0.7804929350985876,0.631767683499107,2.4686023319203128,17.62857142857143,1.0,0.2237479934070533
9002630219,34.68007673991636,84.14725197271271,0.0041261420571765,0.6464106029887576,0.161232054233551,1.0,1.0,480.6539935160625,35.4400902933387,480.6539935160625,34.68007673991636,1.8252981861220736,0.2494823065697831,-0.4255420335563262,1.0,0.0032419687592101,1.8571428571428568,3.840182961156659,1.0,-3.2034265038149176e-16,143.59357500736812,15.421052631578949,0.0,1.0,1.818181818181818,0.5010353868604336,0.5002067761603113,4.890613616169547,0.003158895659134,0.4458795870297941,1.0,0.0020630710285882,1.0,0.78863927321554,0.6414979887897012,2.353124739807793,4.142857142857143,1.0,0.1250001135161207
9002431512,436.1366883697341,357.35712417088064,0.0011811665037471,0.6440349237831804,0.0983283370733261,14.0,1.0,654.6679700228087,78.39005038906404,654.6679700228087,436.1366883697341,1.20824681835973,0.2496223023929477,-0.5856654949861914,7.428571428571429,0.0004751819267948,2.636363636363636,1.7674591218446456,1.0,-3.2034265038149176e-16,150.47477462800043,44.2,0.0,1.0,2.4571428571428573,0.5007553952141044,0.6488195799379086,4.706952091535562,0.0020524262444346,0.2331152125928463,1.0,0.000638101444553,1.0,0.8980392412654912,0.639417890687091,2.4272596906230466,33.484848484848484,1.0,0.4544789833207502
9002395412,409.7206170269968,112.28484168833744,0.0008034079443966,0.6413246484464671,0.1781905442476272,1.0,1.0,655.0730914390344,57.0350769263968,655.0730914390344,409.7206170269968,0.9202441656238332,0.2495527978407163,-0.344364348765402,1.0,0.0003363103023055,2.8461538461538463,1.7876235688481297,1.0,-3.2034265038149176e-16,159.1819111767124,38.05,0.0,1.0,3.0,0.5008944043185675,0.5418693305375696,4.695461861308077,0.001748542436299,0.3537334340327536,1.0,0.0002989424909383,1.0,0.8364745241143865,0.6407561779310817,2.427865943092111,5.2,1.0,0.3989197534188056
P08424256,2056.1722817455384,2137.8535042275616,0.0009783368273934,0.6476689453137663,0.2409837990999221,6.25,0.0816175714076107,665.3426974143955,57.982756057296896,2661.0170820715894,515.6135973396475,3.2094992787892966,0.2486400282836781,-0.4899242243564614,3.5,0.0004969329916919,2.75,1.572141622171281,3.990660721410701,-3.2034265038149176e-16,168.7771216709372,139.01418439716312,1.5456713685928676,1.0,2.125,0.5027199434326437,0.6092079876629604,4.628155245647805,0.0005230393771139,0.2584401066943367,1.0,0.0008230452674897,0.9937941115219108,0.8813334404972503,0.6524607329631932,2.403114881799296,10.714285714285714,0.2501281155369205,0.1812789354842334
Q00888221,1806.7361940997844,1860.6685705452933,0.0008099716509922,0.6444252424735938,0.4615530967712402,2.5,1.7799871843677924e-05,2629.172193973211,69.05070600652827,2629.1070662526813,1807.7599718673407,3.2622567557756987,0.2493691629352769,-0.3862049690413744,2.5,0.0003899863504777,2.65,1.7135589766589645,3.997707616956088,0.0001802559391913,155.2843637972671,137.12587412587413,0.4105844709330257,0.3846104809268902,2.3846153846153846,0.5012616741294461,0.5978630897763333,4.758067939533564,0.0004928656337133,0.2741262752753197,4.903688994845101e-06,0.0004799832005879,0.9984730011774838,0.8753589073793691,0.6437313862865093,2.4282073495778667,8.764705882352942,0.2500337488187913,0.2765676785863014
9001644998,79.90163880541348,235.58378896039167,0.0065454545454545,0.6478211136049159,0.5912125706672668,22.08333333333333,0.2886358791185119,1752.2901818181815,22.84731931759173,1665.482909090909,92.75033454763766,2.9634931983941035,0.2464585977934527,-0.0253769447994943,4.583333333333333,0.0029090909090909,2.5,4.2845487005729685,3.2612478817296404,0.3843581012285244,191.3110909090909,26.071428571428573,16.66753472389153,0.3236875645329247,3.25,0.5070828044130945,0.5020017190082645,4.935095084331546,0.0127333674243233,0.4910812781274377,0.3236875645328905,0.0065454545454545,0.6297716745403114,0.7709934735525168,0.6692688399985894,2.264955007979851,2.6,0.316,0.1296300638367671
9002702173,460.8315168422754,219.84531160528437,0.0018205788185071,0.5864041404882177,0.3326305747032165,5.285714285714286,0.0001669925456155,579.2920459539205,41.400483088968905,2316.409693012744,115.59568013079009,2.498319386097239,0.2477676381114992,-0.460658254899158,5.285714285714286,0.0006905643794337,1.818181818181818,2.86662630098649,3.990963984342408,-3.2034265038149176e-16,142.61893401971247,48.333333333333336,0.8599147735986336,1.0,1.818181818181818,0.5044647237770016,0.6055016106475468,5.074961260307529,0.0010215295370904,0.2674404956506921,1.0,0.0017578002385586,0.993995813610346,0.8793513846195347,0.5941929331109894,2.480352677588587,10.0,0.2502825036097683,0.2586805600381287
9002342087,143.458526885615,206.89979219567493,0.0011805504316387,0.6550977630332881,0.1950442641973495,1.0,1.0,605.591603335055,37.589892258425,605.591603335055,143.458526885615,2.1678888074239957,0.2492831875148997,-0.9130349198431816,1.0,0.0005164908138419,2.8,2.5715100076403306,1.0,-3.2034265038149176e-16,165.07443001549473,17.923076923076923,0.0,1.0,1.8571428571428568,0.5014336249702005,0.5005198307924897,4.574420096230287,0.0020924687342547,0.5043539865834623,1.0,0.0010329816276839,1.0,0.7607052110967228,0.6448713601491142,2.382847675463984,2.0,1.0,0.4687500032303624
